genotype	treatment	timepoint	replicate	total	hue	count
Col-0	CPB	15	1	2130139	120	0
Col-0	CPB	15	1	2130139	121	0
Col-0	CPB	15	1	2130139	122	0
Col-0	CPB	15	1	2130139	123	0
Col-0	CPB	15	1	2130139	124	0
Col-0	CPB	15	1	2130139	125	0
Col-0	CPB	15	1	2130139	126	0
Col-0	CPB	15	1	2130139	127	0
Col-0	CPB	15	1	2130139	128	0
Col-0	CPB	15	1	2130139	129	0
Col-0	CPB	15	1	2130139	130	1
Col-0	CPB	15	1	2130139	131	0
Col-0	CPB	15	1	2130139	132	0
Col-0	CPB	15	1	2130139	133	1
Col-0	CPB	15	1	2130139	134	0
Col-0	CPB	15	1	2130139	135	0
Col-0	CPB	15	1	2130139	136	0
Col-0	CPB	15	1	2130139	137	0
Col-0	CPB	15	1	2130139	138	0
Col-0	CPB	15	1	2130139	139	0
Col-0	CPB	15	1	2130139	140	2
Col-0	CPB	15	1	2130139	141	0
Col-0	CPB	15	1	2130139	142	0
Col-0	CPB	15	1	2130139	143	0
Col-0	CPB	15	1	2130139	144	0
Col-0	CPB	15	1	2130139	145	0
Col-0	CPB	15	1	2130139	146	0
Col-0	CPB	15	1	2130139	147	0
Col-0	CPB	15	1	2130139	148	0
Col-0	CPB	15	1	2130139	149	0
Col-0	CPB	15	1	2130139	150	0
Col-0	CPB	15	1	2130139	151	0
Col-0	CPB	15	1	2130139	152	0
Col-0	CPB	15	1	2130139	153	0
Col-0	CPB	15	1	2130139	154	0
Col-0	CPB	15	1	2130139	155	0
Col-0	CPB	15	1	2130139	156	0
Col-0	CPB	15	1	2130139	157	0
Col-0	CPB	15	1	2130139	158	0
Col-0	CPB	15	1	2130139	159	0
Col-0	CPB	15	1	2130139	160	0
Col-0	CPB	15	1	2130139	161	0
Col-0	CPB	15	1	2130139	162	0
Col-0	CPB	15	1	2130139	163	0
Col-0	CPB	15	1	2130139	164	0
Col-0	CPB	15	1	2130139	165	0
Col-0	CPB	15	1	2130139	166	0
Col-0	CPB	15	1	2130139	167	0
Col-0	CPB	15	1	2130139	168	0
Col-0	CPB	15	1	2130139	169	0
Col-0	CPB	15	1	2130139	170	0
Col-0	CPB	15	1	2130139	171	0
Col-0	CPB	15	1	2130139	172	0
Col-0	CPB	15	1	2130139	173	0
Col-0	CPB	15	1	2130139	174	0
Col-0	CPB	15	1	2130139	175	0
Col-0	CPB	15	1	2130139	176	0
Col-0	CPB	15	1	2130139	177	0
Col-0	CPB	15	1	2130139	178	0
Col-0	CPB	15	1	2130139	179	0
Col-0	CPB	17	1	2056860	0	0
Col-0	CPB	17	1	2056860	1	0
Col-0	CPB	17	1	2056860	2	0
Col-0	CPB	17	1	2056860	3	2
Col-0	CPB	17	1	2056860	4	0
Col-0	CPB	17	1	2056860	5	4
Col-0	CPB	17	1	2056860	6	0
Col-0	CPB	17	1	2056860	7	0
Col-0	CPB	17	1	2056860	8	4
Col-0	CPB	17	1	2056860	9	2
Col-0	CPB	17	1	2056860	10	1
Col-0	CPB	17	1	2056860	11	10
Col-0	CPB	17	1	2056860	12	8
Col-0	CPB	17	1	2056860	13	15
Col-0	CPB	17	1	2056860	14	20
Col-0	CPB	17	1	2056860	15	28
Col-0	CPB	17	1	2056860	16	42
Col-0	CPB	17	1	2056860	17	33
Col-0	CPB	17	1	2056860	18	54
Col-0	CPB	17	1	2056860	19	89
Col-0	CPB	17	1	2056860	20	124
Col-0	CPB	17	1	2056860	21	164
Col-0	CPB	17	1	2056860	22	720
Col-0	CPB	17	1	2056860	23	2110
Col-0	CPB	17	1	2056860	24	2868
Col-0	CPB	17	1	2056860	25	4897
Col-0	CPB	17	1	2056860	26	9230
Col-0	CPB	17	1	2056860	27	11466
Col-0	CPB	17	1	2056860	28	10587
Col-0	CPB	17	1	2056860	29	11598
Col-0	CPB	17	1	2056860	30	10077
Col-0	CPB	17	1	2056860	31	11463
Col-0	CPB	17	1	2056860	32	14269
Col-0	CPB	17	1	2056860	33	13196
Col-0	CPB	17	1	2056860	34	17699
Col-0	CPB	17	1	2056860	35	28476
Col-0	CPB	17	1	2056860	36	16198
Col-0	CPB	17	1	2056860	37	11093
